2.0 TO 2.5; 0.0 TO 1.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.50;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.60;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.60;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.55;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.40;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.25;
3.0 TO 3.5; 3.0 TO 4.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.35;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.40;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.40;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.45;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.50;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.50;
3.0 TO 3.5; 4.0 TO 5.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.50;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.25;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.50;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.55;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.55;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.60;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.65;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.65;
3.0 TO 3.5; 4.0 TO 5.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.60;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.35;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.55;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.65;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.70;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.70;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.70;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.65;
3.0 TO 3.5; 4.0 TO 5.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.60;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.30;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.60;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.70;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.70;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.70;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.65;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.55;
3.0 TO 3.5; 4.0 TO 5.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.50;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.50;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.60;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.60;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.55;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.40;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.25;
3.0 TO 3.5; 4.0 TO 5.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.35;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.35;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.35;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.40;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.45;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.45;
3.0 TO 3.5; 5.0 TO 6.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.45;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.25;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.50;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.50;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.50;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.55;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.55;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.30;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.55;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.65;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.65;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.25;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.55;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.65;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.65;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.50;
3.0 TO 3.5; 5.0 TO 6.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.45;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.50;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.55;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.60;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.55;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.40;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.20;
3.0 TO 3.5; 5.0 TO 6.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.30;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.30;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.35;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.35;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.40;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.40;
3.0 TO 3.5; 6.0 TO 7.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.40;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.20;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.45;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.45;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.45;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.50;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.50;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.25;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.45;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.60;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.60;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.25;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.50;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.60;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.60;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.50;
3.0 TO 3.5; 6.0 TO 7.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.45;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.45;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.55;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.50;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.35;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.20;
3.0 TO 3.5; 6.0 TO 7.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.20;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.25;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.25;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.30;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.30;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.30;
3.0 TO 3.5; 7.0 TO 8.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.30;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.15;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.30;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.35;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.35;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.20;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.35;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.50;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.50;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.50;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.20;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.50;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.50;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.35;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.35;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.45;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.40;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.30;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.15;
3.0 TO 3.5; 7.0 TO 8.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.30;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.35;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.40;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.40;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.45;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.45;
3.5 TO 4.0; 0.0 TO 1.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.45;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.20;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.45;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.50;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.55;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.60;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.60;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.60;
3.5 TO 4.0; 0.0 TO 1.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.55;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.35;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.60;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.70;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.75;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.70;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.70;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.65;
3.5 TO 4.0; 0.0 TO 1.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.60;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.35;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.65;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.75;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.75;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.70;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.65;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.55;
3.5 TO 4.0; 0.0 TO 1.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.45;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.50;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.60;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.55;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.55;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.35;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.20;
3.5 TO 4.0; 0.0 TO 1.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.30;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.40;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.40;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.45;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.45;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.50;
3.5 TO 4.0; 1.0 TO 2.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.50;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.25;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.45;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.55;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.65;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.40;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.65;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.75;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.80;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.75;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.75;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.65;
3.5 TO 4.0; 1.0 TO 2.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.35;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.70;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.75;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.75;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.70;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.65;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.45;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.50;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.65;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.60;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.55;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.35;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.25;
3.5 TO 4.0; 1.0 TO 2.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.30;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.40;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.40;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.40;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.45;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.45;
3.5 TO 4.0; 2.0 TO 3.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.45;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.25;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.50;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.55;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.55;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.60;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.60;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.60;
3.5 TO 4.0; 2.0 TO 3.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.55;
